	Platform Information									
	Link to Form	https://requestrecords.google.com/researcher/form								
	Account Required									
	Modality	Form								
										
										
id	Question	Type	Classification	MAIN_Question	Operation	Required	Condition	Options	Details	Comments
G32	Please provide any evidence of the above in the next question through the text box and/or the option to upload supporting documents. Please combine evidence for both questions into one consolidated PDF file. Please describe the technical and organizational measures that you have in place to protect the data that you will collect / access for this research. Your answer should cover the following. Please feel free to provide your answer in the text box (3000 character maximum) below and/or upload your answer with any supporting documents you would like to submit.  1. What are your organization's data security policies and procedures? 2. How will you ensure the confidentiality of any personal data collected? 3. How will you store and protect the data access including personal data? 4. What are your procedures for handling data breaches?	free form	Data Security	tom-general		TRUE				
G33	Upload supporting evidence here. Please add all the evidence for the two questions above into one consolidated PDF file	file upload	Data Security	tom-evidence		FALSE			19MB limit, alternative to data protection description	
G34	Are you the primary point of contact or principal investigator for this proposal?	selection	Collaboration	collab-lead		TRUE	if service == Search	Yes, No	only if partnering with other researchers/institutions, if No: cannot be submitted	
G35	Are you collaborating with other members of your organization for this project? (Maximum of 9 additional researchers)	selection	Collaboration	collab-list		TRUE	if service == Search	Yes, No	only if partnering with other researchers/institutions	
G36	Please ensure that the details of the additional researchers that you have provided are correct and accurate. You will not have an option to amend this information later on. These details will be used to provide access/permissions to researchers in your team working on the same proposal.  I have read and agree to the Google Search Researcher Program's Terms of Service and understand (i) my acceptance by and participation in the Researcher Program is subject to the Google Search Researcher Program's Terms of Service; (ii) my access to, and use of, data does and will comply with the Google Search Researcher Program's Terms of Service.	selection	Legal	legal-consent		TRUE	if G1 == Search	I agree		
G37	To access public data on Maps, you will need to set-up a Google Cloud Platform (GCP) project using the Google account you are using to fill up this form. Note: All data access requests for Maps data must be submitted via this GCP project owned by you through your Google account. Any use of Google Cloud Platform outside of this project will be subject to the then-current Fees for the applicable Service under the Google Cloud Platform Terms of Service To ensure that we are providing access to the correct person, please provide your Google Account information again below.  Please provide the email address associated with the Google Account that you are using to (1) fill up this form, AND (2) create a GCP project.	free form	Legal	tech-client		TRUE	if G1 == Maps			
G38	I have read and agree that my current and proposed data access via the GCP project will comply with the Acceptable Use Policy of Google's Researcher Program and the Google Cloud Platform Terms of Service. If there is a conflict between those terms of service, the Acceptable Use Policy of Google's Researcher Program will take precedence. I acknowledge that any use of Google Cloud Platform outside of this project will be subject to the then-current Fees for the applicable Service under the Google Cloud Platform Terms of Service. I understand that Google will monitor my data access and queries for the purpose of detecting violations of the Acceptable Use Policy.	selection	Legal	legal-consent		TRUE	if G1 == Maps	I agree		
G39	Have you scraped [SERVICE] before?	selection	Previous Experience	prev-experience		FALSE	if service == Play OR if service == Shopping	Yes, No		
G40	How do you plan to scrape [SERVICE]?	selection	Technical	tech-client, data-accmod, org-type		TRUE	if service == Play OR if service == Shopping	Client-Side Scraping Third-Party (3P) Tools Browser Plug-Ins Other [free form]		
G41	Please provide the IP address that you will use to access public data through scraping. What type of IP address are you providing?	selection	Technical	tech-client-ip		TRUE	if service == Play OR if service == Shopping	IPv4 IPv6 None		
G42	Please provide the static IP address that you will use for scraping public data.	free form	Technical	tech-client-ip		TRUE	if service == Play OR if service == Shopping			
G43	Please confirm that you take responsibility to act in accordance with the Acceptable Use Policy of Google's Researcher Program and the Google Play Terms of Service.	selection	Legal	legal-consent		TRUE	if G1 == Play OR if G1 == Shopping	I agree		
G44	  Please provide the IP address that you will use to access public data through scraping. What type of IP address are you providing?	selection	Technical	tech-client-ip		TRUE	if service == YouTube	 IPv4, IPv6	 Successful research proposals that meet the eligibility criteria will be given permission to access public data through scraping (limited to metadata and excluding media such as video bytes). To provide permissions to the correct recipient, we require the following identifying information: (a) IP address that will be used to scrape public data; (b) Product token string Please note: Without this information, your data access activity scraping may be blocked during anti-abuse enforcement, which can impact your research.	
G45	 Please provide the static IP address that you will use for scraping public data.	free form	Technical	tech-client-ip		TRUE	if service == YouTube			
G46	 Please provide your "product token" string.	free form	Technical	tech-client-token		TRUE	if service == YouTube		A "product token" is the "user agent string" accompanying all requests for data collection through scraping. The access requests related to this research that originate from your systems must contain this product token, as specified in the Robots Exclusion Protocol standard.	
G47	I have read and agree to YouTube's Terms of Service (including the Developer Policies and Google Privacy Policy), and my current and proposed data access will comply with YouTube's Terms of Service.	selection	Legal	legal-consent		TRUE	if G1 == YouTube			
G48	I have read and agree to the Acceptable Use Policy for the Google Researcher Program. My current and proposed access to and use of data is and will be in accordance with this Policy	selection	Legal	legal-consent		TRUE		I agree		
